ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Meta: _wpcom_is_markdown","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Attribute 4 name","Attribute 4 value(s)","Attribute 4 visible","Attribute 4 global","Attribute 5 name","Attribute 5 value(s)","Attribute 5 visible","Attribute 5 global","Attribute 6 name","Attribute 6 value(s)","Attribute 6 visible","Attribute 6 global","Attribute 7 name","Attribute 7 value(s)","Attribute 7 visible","Attribute 7 global","Attribute 8 name","Attribute 8 value(s)","Attribute 8 visible","Attribute 8 global","Attribute 9 name","Attribute 9 value(s)","Attribute 9 visible","Attribute 9 global","Attribute 10 name","Attribute 10 value(s)","Attribute 10 visible","Attribute 10 global","Attribute 11 name","Attribute 11 value(s)","Attribute 11 visible","Attribute 11 global"
,simple,PosterLK00113,"Malibu Playboy Jazz Festival",1,0,visible,"Malibu Playboy Jazz Festival","Polish Poster",,,taxable,,0,0,1,0,0,,,,,1,"Shipping: 24h",,130.0000,"MUSIC POSTER, OTHER POSTER",,,https://polishpostershop.entsolve1.pl/import_media/konopelski-posterlk00113.jpg,,,,,,,,,0,1,"Poster Designer","Leonard Konopelski",1,1,"Year of Release","1992 / R 2008",1,1,"Poster Size","ca. 71x91.5 cm",1,1,Edition,reprint,1,1,"Print Technique","digital reprint",1,1,"Poster Condition",mint,1,1,,,,,,,,,,,,,,,,,,,,
,simple,Poster04966,"Matka Maxim Gorki || Mother Maxim Gorki || Mutter Maxim Gorki",1,0,visible,"Matka Maxim Gorki","Polish Poster",,,taxable,,1,100,1,0,0,,,,,1,"Shipping: 24h",,300.0000,THEATER,,,https://polishpostershop.entsolve1.pl/import_media/konopelski-posterlk00114.jpg,,,,,,,,,0,1,"Poster Designer","Leonard Konopelski",1,1,"Year of Release",1972,1,1,"Poster Size","ca. A1 = 58x82 cm / 23x33 in",1,1,Edition,original,1,1,"Print Technique",offset,1,1,"Poster Condition",good,1,1,,,,,,,,,,,,,,,,,,,,
,simple,PosterLK00115,"Matka Maxim Gorki || Mother Maxim Gorki || Mutter Maxim Gorki",1,0,visible,"Matka Maxim Gorki","Polish Poster",,,taxable,,1,100,1,0,0,,,,,1,"Shipping: 24h",,130.0000,THEATER,,,https://polishpostershop.entsolve1.pl/import_media/konopelski-posterlk00115.jpg,,,,,,,,,0,1,"Poster Designer","Leonard Konopelski",1,1,"Year of Release","1972 / R 2008",1,1,"Poster Size","ca. 70x100 cm",1,1,Edition,reprint,1,1,"Print Technique","digital reprint",1,1,"Poster Condition",mint,1,1,,,,,,,,,,,,,,,,,,,,
,simple,PosterLK00116,"Rewizor || Revizor || Revisor",1,0,visible,Rewizor,"Polish Poster",,,taxable,,1,100,1,0,0,,,,,1,"Shipping: 24h",,130.0000,THEATER,,,https://polishpostershop.entsolve1.pl/import_media/konopelski-posterlk00116.jpg,,,,,,,,,0,1,"Poster Designer","Leonard Konopelski",1,1,"Year of Release","1969 / R 2008",1,1,"Poster Size","ca. 70x100 cm",1,1,Edition,reprint,1,1,"Print Technique","digital reprint",1,1,"Poster Condition",mint,1,1,,,,,,,,,,,,,,,,,,,,
,simple,PosterLK00118,"Little Format Exhibition",1,0,visible,"Little Format Exhibition","Polish Poster",,,taxable,,1,100,1,0,0,,,,,1,"Shipping: 24h",,130.0000,EXHIBITION,,,https://polishpostershop.entsolve1.pl/import_media/konopelski-posterlk00118.jpg,,,,,,,,,0,1,"Poster Designer","Leonard Konopelski",1,1,"Year of Release","1999 / R 2008",1,1,"Poster Size","ca. 61x91 cm",1,1,Edition,reprint,1,1,"Print Technique","digital reprint",1,1,"Poster Condition",mint,1,1,,,,,,,,,,,,,,,,,,,,
,simple,PosterLK00119,Rodeo,1,0,visible,Rodeo,"Polish Poster",,,taxable,,1,100,1,0,0,,,,,1,"Shipping: 24h",,130.0000,THEATER,,,https://polishpostershop.entsolve1.pl/import_media/konopelski-posterlk00119.jpg,,,,,,,,,0,1,"Poster Designer","Leonard Konopelski",1,1,"Year of Release","1975 / R 2008",1,1,"Poster Size","ca. 70x100 cm",1,1,Edition,reprint,1,1,"Print Technique","digital reprint",1,1,"Poster Condition",mint,1,1,,,,,,,,,,,,,,,,,,,,
,simple,PosterLK00120,"Moscow 80 Weight Liffting",1,0,visible,"Moscow 80 Weight Liffting","Polish Poster",,,taxable,,0,0,1,0,0,,,,,1,"Shipping: 24h",,130.0000,"OTHER POSTER",,,https://polishpostershop.entsolve1.pl/import_media/konopelski-posterlk00120.jpg,,,,,,,,,0,1,"Poster Designer","Leonard Konopelski",1,1,"Year of Release","1980 / R 2008",1,1,"Poster Size","ca. 65.5x101.5 cm",1,1,Edition,reprint,1,1,"Print Technique","digital reprint",1,1,"Poster Condition",mint,1,1,,,,,,,,,,,,,,,,,,,,
,simple,PosterLK00121,"Moscow 1980",1,0,visible,"Moscow 1980","Polish Poster",,,taxable,,1,100,1,0,0,,,,,1,"Shipping: 24h",,100.0000,"OTHER POSTER",,,https://polishpostershop.entsolve1.pl/import_media/konopelski-posterlk00121.jpg,,,,,,,,,0,1,"Poster Designer","Leonard Konopelski",1,1,"Year of Release",1977,1,1,"Poster Size","ca. 66.5x93.5 cm",1,1,Edition,original,1,1,"Print Technique",offset,1,1,"Poster Condition",mint,1,1,,,,,,,,,,,,,,,,,,,,
,simple,PosterLK00122,"Szkoła żon || Critique of the School for Wives Molière || Schule der Frauen",1,0,visible,"Szkoła żon","Polish Poster",,,taxable,,1,100,1,0,0,,,,,1,"Shipping: 24h",,130.0000,THEATER,,,https://polishpostershop.entsolve1.pl/import_media/konopelski-posterlk00122.jpg,,,,,,,,,0,1,"Poster Designer","Leonard Konopelski",1,1,"Year of Release","1977 / R 2008",1,1,"Poster Size","ca. 70x100 cm",1,1,Edition,reprint,1,1,"Print Technique","digital reprint",1,1,"Poster Condition",mint,1,1,,,,,,,,,,,,,,,,,,,,
,simple,PosterLK00123,"Szkoła żon || Critique of the School for Wives Molière || Schule der Frauen",1,0,visible,"Szkoła żon","Polish Poster",,,taxable,,1,100,1,0,0,,,,,1,"Shipping: 24h",,130.0000,THEATER,,,https://polishpostershop.entsolve1.pl/import_media/konopelski-posterlk00123.jpg,,,,,,,,,0,1,"Poster Designer","Leonard Konopelski",1,1,"Year of Release","1977 / R 2008",1,1,"Poster Size","ca. 70x100 cm",1,1,Edition,reprint,1,1,"Print Technique","digital reprint",1,1,"Poster Condition",mint,1,1,,,,,,,,,,,,,,,,,,,,
